20.00,TG5C-12X3,,,"19  TOR G5 NC 1/2"" - 13 X 3",,,,,0.00,5.6426,,,112.85
15.00,41-EGM12025,,,19  TOR HEX 8.8 MM 12 -1.75 X 25,,,,,0.00,3.0307,,,45.46
30.00,41-ACM16070,,,19  TOR ALLEN MM 16 -2.00 X 70,,,,,0.00,16.5581,,,496.74
25.00,TG5C-58X7,,,"19  TOR G5 NC 5/8"" - 11 X 7",,,,,0.00,21.4122,,,535.30
20.00,41-ACM12035,,,19  TOR ALLEN MM 12 -1.75 X 35,,,,,0.00,5.0512,,,101.02
10.00,41-EGM12040,,,19  TOR HEX 8.8 MM 12 -1.75 X 40,,,,,0.00,3.8438,,,38.44
25.00,41-EGM12030,,,19  TOR HEX 8.8 MM 12 -1.75 X 30,,,,,0.00,3.1662,,,79.16
10.00,TG5C-38X5,,,"19  TOR G5 NC 3/8"" - 16 X 5",,,,,0.00,4.9403,,,49.40
25.00,41-ACM14030,,,19  TOR ALLEN MM 14 -2.00 X 30,,,,,0.00,9.4248,,,235.62
25.00,41-EGM16120,,,19  TOR HEX 8.8 MM 16 -2.00 X 120,,,,,0.00,19.9707,,,499.27
30.00,41-ACM20150,,,19  TOR ALLEN MM 20 -2.50 X 150,,,,,0.00,61.4522,,,"1,843.57"
30.00,41-ACM12050,,,19  TOR ALLEN MM 12 -1.75 X 50,,,,,0.00,6.4926,,,194.78
15.00,41-ACM16060,,,19  TOR ALLEN MM 16 -2.00 X 60,,,,,0.00,14.5869,,,218.80
20.00,41-EGMF12030,,,19  TOR HEX 8.8 NF MM 12 -1.50 X 30,,,,,0.00,3.5728,,,71.46
30.00,41-ACM10030,,,19  TOR ALLEN MM 10 -1.50 X 30,,,,,0.00,3.0061,,,90.18
30.00,41-ACM12025,,,19  TOR ALLEN MM 12 -1.75 X 25,,,,,0.00,4.2258,,,126.77
30.00,41-EGMF10035,,,19  TOR HEX 8.8 NF MM 10 -1.25 X 35,,,,,0.00,3.3634,,,100.90
45.00,41-EGMF10025,,,19  TOR HEX 8.8 NF MM 10 -1.25 X 25,,,,,0.00,3.0307,,,136.38
50.00,41-EGM10030,,,19  TOR HEX 8.8 MM 10 -1.50 X 30,,,,,0.00,2.3654,,,118.27
10.00,41-ACM20160,,,19  TOR ALLEN MM 20 -2.50 X 160,,,,,0.00,64.4090,,,644.09
30.00,41-EGM10050,,,19  TOR HEX 8.8 MM 10 -1.50 X 50,,,,,0.00,3.9054,,,117.16
40.00,41-ACM12045,,,19  TOR ALLEN MM 12 -1.75 X 45,,,,,0.00,5.7288,,,229.15
10.00,TG5C-1X4,,,"19  TOR G5 NC 1"" - 8 X 4",,,,,0.00,38.5986,,,385.99
35.00,41-ACM12040,,,19  TOR ALLEN MM 12 -1.75 X 40,,,,,0.00,5.3838,,,188.43
25.00,41-EGM12060,,,19  TOR HEX 8.8 MM 12 -1.75 X 60,,,,,0.00,6.1846,,,154.62
20.00,41-EGM16060,,,19  TOR HEX 8.8 MM 16 -2.00 X 60,,,,,0.00,9.9299,,,198.60
25.00,41-AC08025,,,19  TOR ALLEN UNC 5/16-18 X 1,,,,,0.00,1.3922,,,34.80
25.00,41-ACM14090,,,19  TOR ALLEN MM 14 -2.00 X 90,,,,,0.00,22.9152,,,572.88
15.00,41-ACM14080,,,19  TOR ALLEN MM 14 -2.00 X 80,,,,,0.00,18.9235,,,283.85
15.00,41-EGM10035,,,19  TOR HEX 8.8 MM 10 -1.50 X 35,,,,,0.00,2.6118,,,39.18
15.00,41-ACM14040,,,19  TOR ALLEN MM 14 -2.00 X 40,,,,,0.00,11.6917,,,175.38
5.00,41-EGM14060,,,19  TOR HEX 8.8 MM 14 -2.00 X 60,,,,,0.00,7.8848,,,39.42
10.00,TG5C-34X6,,,"19  TOR G5 NC 3/4"" - 10 X 6",,,,,0.00,24.5414,,,245.41
20.00,41-EGM16080,,,19  TOR HEX 8.8 MM 16 -2.00 X 80,,,,,0.00,14.1434,,,282.87
20.00,TG5C-716X112,,,"19  TOR G5 NC 7/16"" - 14 X 1 1/2",,,,,0.00,2.3408,,,46.82
10.00,41-ACF08019,,,19  TOR ALLEN UNF 5/16-24 X 3/4,,,,,0.00,1.6262,,,16.26
15.00,41-EGM10025,,,19  TOR HEX 8.8 MM 10 -1.50 X 25,,,,,0.00,2.2422,,,33.63
10.00,41-ACM14140,,,19  TOR ALLEN MM 14 -2.00 X 140,,,,,0.00,31.9334,,,319.33
10.00,41-ACM16130,,,19  TOR ALLEN MM 16 -2.00 X 130,,,,,0.00,30.2579,,,302.58
15.00,41-ACM12055,,,19  TOR ALLEN MM 12 -1.75 X 55,,,,,0.00,6.9485,,,104.23
20.00,41-APM12020,,,19  TOR ALLEN C/PLANA 12 -1.75 X 20 mm.,,,,,0.00,4.5338,,,90.68
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,"COMERCIAL VAZQUEZ MONTALVO, S.A. DE C.V.",,,,,,
,,,,,,,,,,,,,
,Domicilio fiscal,,,,,R.F.C. :,,,,COTIZACIÓN No. :,,F5366,
,"Calle: HEROE DE NACOZARI NTE No. 1906, Col. GREMIAL, CP: 20030,",,,,,,,,,Fecha,,18/05/2020,
,"AGUASCALIENTES, AGS, MEXICO",,,,,,,,,,,,
,Lugar de expedición,,,,,,,,,,,,
,"Calle: HEROE DE NACOZARI NTE, CP: 20030",,,,,,,,,,,,
,,,,,,,,,,,,,
Cliente:,(,9000,),VENTA DE MOSTRADOR,,,,,,,,,
"Calle: HEROE DE NACOZARI No. 1906, Col. GREMIAL, CP: 20030, AGUASCALIENTES, AGUASCALIENTES,",,,,,,,,,,,,,
"AGUASCALIENTES, RFC: XAXX010101000, Teléfono: 9122563",,,,,,,,,,,,,
Vendedor :,38,,,,,,,,,,,,
Enviar a:,,,,,,,,,,,,,
Cantidad,Clave,,,Descripción,,,,,% Desc,P/U,,Importe,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Subtotal,,,,,"13,649.64",
,,,,,,,Descuent,,,,,0.00,
,,,,,,,Desc. Fin.,,,,,0.00,
,,,,,,,I.E.P.S.,,,,,0.00,
,,,,,,,RET IVA 6%,,,,,0.00,
,,,,,,,,,,,,0.00,
,,,,,,,,,,,,,
,,,,,,,IVA,,,,,"2,183.94",
,,,,,,,Total,,,,,"15,833.58",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
La cotización será vigente hasta el día,,,,,,02/06/2020,,,,,,,
,,,,,,,,,,,,,
QUINCE MIL OCHOCIENTOS TREINTA Y TRES PESOS 58/100 M.N.,,,,,,,,,,,,,

